주성분코드,제품코드
101840ASY,acetylcysteine   11g(20mg/mL)
101801ACH,acetylcysteine   0.1g
101804ACH,acetylcysteine   0.2g
101807ATB,acetylcysteine   0.6g
106331ASY,ambroxol hydrochloride   1.5g(3mg/mL)
106332ASY,ambroxol hydrochloride   3g(3mg/mL)
106301ATB,ambroxol hydrochloride   30mg
113801ATB,bamiphylline hydrochloride   0.3g
115801ACS,benzonatate   0.1g
118601ATB,bromhexine hydrochloride   8mg
123840ASY,L-carbocysteine   10g(20mg/mL)
123841ASY,L-carbocysteine   20g(20mg/mL)
123843ASY,L-carbocysteine   25g(50mg/mL)
123844ASY,L-carbocysteine   50g(50mg/mL)
123801ACH,L-carbocysteine   0.5g
123804ACH,L-carbocysteine   0.375g
135331ASY,clenbuterol hydrochloride   1mg(1μg/mL)
135332ASY,clenbuterol hydrochloride   0.5mg(1μg/mL)
150034ASY,ivy leaf 70% ethanol fluid ext.   0.1g(20mg/mL)
150038ASY,ivy leaf 70% ethanol fluid ext.   1g(20mg/mL)
150043ASY,ivy leaf 70% ethanol fluid ext.   2g(20mg/mL)
150045ASY,ivy leaf 70% ethanol fluid ext.   10g(20mg/mL)
150032ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   35mg(7mg/mL)
150033ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   52.5mg(7mg/mL)
150044ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   3.5g(7mg/mL)
150046ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   1.4g(7mg/mL)
150007ATB,ivy leaf 30% ethanol dried ext.(5~7.5→1) (as hederacoside C   2.5mg)   25mg
153130ASY,erdosteine   1.75g(35mg/mL)
153101ACH,erdosteine   0.3g
153101ATB,erdosteine   0.3g
157901ATB,fenoterol hydrobromide   2.5mg
163130ASY,formoterol fumarate hydrate   4mg(40μg/g)
163131ASY,formoterol fumarate hydrate   12mg(40μg/g)
163101ATB,formoterol fumarate hydrate   20μg
163104ATB,formoterol fumarate hydrate   40μg
180140ASY,ketotifen fumarate (as ketotifen   20mg(0.2mg/mL))
180142ASY,ketotifen fumarate (as ketotifen   0.1g(0.2mg/mL))
180143ASY,ketotifen fumarate (as ketotifen   0.2g(0.2mg/mL))
180151ASY,ketotifen fumarate (as ketotifen   40mg(0.2mg/mL))
180162ASY,ketotifen fumarate (as ketotifen   2mg(0.2mg/mL))
180163ASY,ketotifen fumarate (as ketotifen   3mg(0.2mg/mL))
180101ATB,ketotifen fumarate (as ketotifen   1mg)
183136AGN,levodropropizine   60mg(60mg/g)
183131ASY,levodropropizine   60mg(6mg/mL)
183134ASY,levodropropizine   0.6g(6mg/mL)
183135ASY,levodropropizine   3g(6mg/mL)
183102ACH,levodropropizine   60mg
183102ATB,levodropropizine   60mg
183103ATR,levodropropizine   90mg
192401ATB,"methyl-N,S-diacetylcysteine   0.2g"
207701ATB,ozagrel hydrochloride   0.2g
218301ATB,procaterol hydrochloride   25μg
218302ATB,procaterol hydrochloride   50μg
225501ATB,salbutamol sulfate (as salbutamol   2mg)
225503ACR,salbutamol sulfate (as salbutamol   4mg)
225503ATB,salbutamol sulfate (as salbutamol   4mg)
225507ACR,salbutamol sulfate (as salbutamol   8mg)
228201ACH,sobrerol   0.1g
228202ACH,sobrerol   0.2g
237030ASY,theophylline   0.2g(0.2g/g)
237031ASY,theophylline   40g(0.2g/g)
237001ACR,theophylline   0.1g
237003ACH,theophylline   0.2g
237003ACR,theophylline   0.2g
237003ATR,theophylline   0.2g
237005ATR,theophylline   0.4g
242601ACH,tranilast   0.1g
532000ASY,ambroxol hydrochloride   0.75g(1.5mg/mL)
532100ASY,ambroxol hydrochloride   1.5g(1.5mg/mL)
264800ATB,ambroxol hydrochloride   30mg
266500ATB,dextromethorphan hydrobromide   20mg
267400ATB,caffeine anhydrous   10mg
532800ASY,chlorpheniramine maleate   0.15g(0.15mg/mL)
532700ASY,chlorpheniramine maleate   75mg(0.15mg/mL)
268000ATB,chlorpheniramine maleate   1.5mg
386431APD,"N,S-methyldiacetylcysteine   45g(0.15g/g)"
423801ATB,neltenexine monohydrate   37.4mg
429030ASS,levocloperastine fendizoate (as cloperastine hydrochloride   32mg(4mg/mL))
429031ASS,levocloperastine fendizoate (as cloperastine hydrochloride   2g(4mg/mL))
439101ATB,doxofylline   0.4g
503301ACH,theobromine   0.3g
532500ASY,ammonium chloride   0.2g(10mg/mL)
532600ASY,ammonium chloride   5g(10mg/mL)
677200ASY,ammonium chloride   0.13g(10mg/mL)
532900ASY,acetylcysteine   0.2g(20mg/mL)
533000ASY,acetylcysteine   10g(20mg/mL)
533100ASY,acetylcysteine   11g(20mg/mL)
533400ASY,coptis rhizome butanol dried ext.(4.5~7→1)   8.75mg(0.875mg/mL)
533500ASY,coptis rhizome butanol dried ext.(4.5~7→1)   13.125mg(0.875mg/mL)
533600ASY,coptis rhizome butanol dried ext.(4.5~7→1)   0.4375g(0.875mg/mL)
100701ACH,acebrophylline   0.1g
100702ATR,acebrophylline   0.2g
113601ATB,bambuterol hydrochloride   10mg
220902ATB,pseudoephedrine hydrochloride   60mg
490331ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)ㆍglycerin mixed solution(8:2)   1.5444g(0.1716g/mL)
490335ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)ㆍglycerin mixed solution(8:2)   85.8g(0.1716g/mL)
490336ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)ㆍglycerin mixed solution(8:2)   171.6g(0.1716g/mL)
490303ATB,pelargonium sidoides 11% ethanol ext.(1→8~10) (as dried pelargonium sidoides ethanol ext.   16~20mg)
614701ATB,roflumilast(micronized)   0.5mg
620301ATB,pirfenidone   0.2g
620302ATB,pirfenidone   0.4g
620303ATB,pirfenidone   0.6g
677900ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   1.945g(3.89mg/mL)
149702ACH,doxycycline hyclate hydrate (as doxycycline   20mg)
109931ALQ,sodium alginate   1g(50mg/mL)
109932ALQ,sodium alginate   1.25g(50mg/mL)
109935ALQ,sodium alginate   30g(50mg/mL)
109936ALQ,sodium alginate   0.5g(50mg/mL)
109937ALQ,sodium alginate   1.5g(50mg/mL)
109938ALQ,sodium alginate   1.1g(50mg/mL)
109903ATB,sodium alginate   0.25g
115001ACH,benexate betadex   0.2g
118101ASS,boehmite (as aluminum oxide   1.212g)
133301ATB,cimetidine   0.2g
133302ATB,cimetidine   0.3g
133303ATB,cimetidine   0.4g
133305ATR,cimetidine   0.35g
157301ATB,famotidine   10mg
157302ATB,famotidine   20mg
157302ATD,famotidine   20mg
167003ATB,glycopyrrolate   1mg
181301ACE,lansoprazole granule (as lansoprazole   30mg)
181301ATD,lansoprazole   30mg
181302ACE,lansoprazole granule (as lansoprazole   15mg)
181302ATD,lansoprazole   15mg
181302ATE,lansoprazole   15mg
196301ATB,1% misoprostol powder (as misoprostol   0.1mg)
196302ATB,1% misoprostol powder (as misoprostol   0.2mg)
202701ACH,nizatidine   0.15g
202701ATB,nizatidine   0.15g
202704ATB,nizatidine   75mg
204401ACE,omeprazole granule(enteric coated) (as omeprazole   20mg)
204401ATE,omeprazole   20mg
204402ATE,omeprazole   40mg
204403ATE,omeprazole   10mg
208801ATE,pantoprazole sodium (as pantoprazole   40mg)
208802ATE,pantoprazole sodium (as pantoprazole   20mg)
222201ATE,rabeprazole sodium   10mg
222202ATE,rabeprazole sodium   20mg
222203ATE,rabeprazole sodium   5mg
222801ATB,ranitidine hydrochloride (as ranitidine   0.15g)
222803ATB,ranitidine hydrochloride (as ranitidine   0.3g)
222805ATB,ranitidine hydrochloride (as ranitidine   75mg)
222901ATB,rebamipide   0.1g
225201ACR,roxatidine acetate hydrochloride   75mg
225202ACR,roxatidine acetate hydrochloride   37.5mg
232301ASS,sucralfate   1g
232302ATB,sucralfate   0.25g
233102ATB,sulglycotide   0.2g
235401ACH,teprenone   50mg
244802ATB,tripotassium bismuth dicitrate   0.3g
245601ATB,troxipide   0.1g
271800ATB,ranitidine hydrochloride (as ranitidine   75mg)
631800ATB,ranitidine hydrochloride (as ranitidine   0.15g)
356730ASS,ecabet sodium   1g(83.33mg/mL)
356701AGN,ecabet sodium   1g
356702ATB,ecabet sodium   0.5g
367201ACH,esomeprazole magnesium (as esomeprazole   20mg)
367201ATB,esomeprazole magnesium (as esomeprazole   20mg)
367201ATD,esomeprazole magnesium (as esomeprazole   20mg)
367202ACH,esomeprazole magnesium (as esomeprazole   40mg)
367202ATB,esomeprazole magnesium (as esomeprazole   40mg)
367202ATD,esomeprazole magnesium (as esomeprazole   40mg)
430101ATB,artemisiae argyi folium 95% ethanol ext.(20→1)   60mg
430102ATB,artemisiae argyi folium 95% ethanol ext.(20→1)   90mg
488601ATB,revaprazan   0.2g
489302ATB,lafutidine   10mg
494201ATB,irsogladine maleate   4mg
494201ATD,irsogladine maleate   4mg
494202ATB,irsogladine maleate   2mg
494202ATD,irsogladine maleate   2mg
498001ACH,esomeprazole strontium tetrahydrate (as esomeprazole   20mg)
498002ACH,esomeprazole strontium tetrahydrate (as esomeprazole   40mg)
505501ATE,ilaprazole   10mg
505601ATB,polaprezinc   75mg
509901ACH,esomeprazole   40mg
509902ACH,esomeprazole   20mg
519201ATE,S-pantoprazole sodium trihydrate (as S-pantoprazole   20mg)
519202ATE,S-pantoprazole sodium trihydrate (as S-pantoprazole   10mg)
519203ATE,S-pantoprazole sodium trihydrate (as S-pantoprazole   40mg)
621701ATB,artemisiae argyi folium isopropanol soft ext.(20→1)   60mg
621702ATB,artemisiae argyi folium isopropanol ext.   90mg
621901ACR,dexlansoprazole   30mg
621902ACR,dexlansoprazole   60mg
640200ATB,omeprazole   40mg
664500ATB,omeprazole   20mg
656701ATE,pantoprazole hemimagnesium monohydrate (as pantoprazole   40mg)
670700ATB,esomeprazole magnesium (as esomeprazole   20mg)
675801ATB,tegoprazan   50mg
105201ASS,almagate   1.5g(0.1g/mL)
105230ASS,almagate   1g(66.667mg/mL)
105202ATB,almagate   1g
105203ATB,almagate   0.5g
105902ATB,aluminum hydroxide gel(dried) (as aluminum hydroxide   0.3g)
121801ATB,calcium carbonate   0.5g
121901ATB,calcium carbonate(precipitated)   0.75g
146530ASS,diomagnite   3.8g
171431AGN,hydrotalcite   500g(0.5g/g)
187201ASS,magnesium aluminum silicate   1g
187203ATB,magnesium aluminum silicate   0.5g
187402ATB,magnesium hydroxide   0.5g
187501ATB,magnesium oxide   0.25g
227601ATB,simaldrate   0.32g
145901ATB,dimenhydrinate   50mg
167301ATB,granisetron hydrochloride (as granisetron   1mg)
167301ATD,granisetron hydrochloride (as granisetron   1mg)
204601ATD,ondansetron hydrochloride dihydrate (as ondansetron   4mg)
204603ATB,ondansetron hydrochloride dihydrate (as ondansetron   8mg)
204603ATD,ondansetron hydrochloride dihydrate (as ondansetron   8mg)
222601ATD,ramosetron hydrochloride   0.1mg
483001ACH,aprepitant   80mg
483002ACH,aprepitant   0.125g
674900ACH,netupitant   0.3g
100301ACH,magnesium trihydrate salt of chenodesoxycholic acid and ursodesoxycholic acid   0.25g
246502ATB,ursodeoxycholic acid   0.2g
246503ACH,ursodeoxycholic acid   0.25g
246506ATB,ursodeoxycholic acid   0.3g
113231AGN,bacillus licheniformis   37.5g(0.25g/g)
113231APD,bacillus licheniformis   37.5g(0.25g/g)
113232APD,bacillus licheniformis   75g(0.25g/g)
113201ACH,bacillus licheniformis   0.25g
117401ACH,biodiasmin-F 100   30mg
146430ASS,dioctahedral smectite   1.5g(0.15g/mL)
146431ASS,dioctahedral smectite   3g(0.15g/mL)
146432ASS,dioctahedral smectite   75g(0.15g/mL)
164431APD,galactosidase(β)   30g(0.5g/g)
180531AGN,lactobacillus acidophillus   0.3g(0.3g/g)
180535AGN,lactobacillus acidophillus   150g(0.3g/g)
180501ACH,lactobacillus acidophillus   0.3g
185102ACH,loperamide hydrochloride   2mg
185102ACS,loperamide hydrochloride   2mg
225401ACH,saccharomyces boulardii   0.113g
225402ACH,saccharomyces boulardii   0.2825g
225402APD,saccharomyces boulardii   0.2825g
225403ACH,saccharomyces boulardii   56.5mg
231701ATB,streptococcus faecalis bio-4R   0.1g
231802ACH,enterococcus faecium strain cernelle 68   30mg
461130APD,lactobacillus casei var. rhamnosus   0.25g(0.25g(2억개)/g)
461131APD,lactobacillus casei var. rhamnosus   25g(0.25g(2억개)/g)
461130AGN,lactobacillus casei var. rhamnosus   0.25g(0.25g/g)
461131AGN,lactobacillus casei var. rhamnosus   25g(0.25g/g)
461101ACH,lactobacillus casei var. rhamnosus   2억개
473533APD,"bacillus subtilis·streptococcus faecium(streptococcus faecium 2.25억마리,bacillus subtilis 0.25억마리)   31.25g(62.5mg/g)"
473502ACE,"bacillus subtilis·streptococcus faecium(streptococcus faecium 4.5억마리,bacillus subtilis 0.5억마리)   0.125g"
473503ACE,"bacillus subtilis·streptococcus faecium(streptococcus faecium 9억마리,bacillus subtilis 1억마리)   0.25g"
487401ACH,bacteria culture of Lactobacillus rhamnosus R0011 and Lactobacillus helveticus R0052   20mg
214630AGN,plantago seed/plantago seed cortex   4.08g(0.68g/g)
221002APD,psyllium husk   3.25g
415730APD,lactitol monohydrate   20g
536700ALQ,dibasic sodium phosphate   16.2g(0.18g/mL)
114511ATE,beclomethasone dipropionate   5mg
122301ATB,calcium polycarbophil   0.625g
135030ATB,clebopride malate (as clebopride   0.5mg)
148433AGN,domperidone   3g(10mg/g)
148432ASS,domperidone   0.5g(1mg/mL)
148402ATB,domperidone   10mg
148501ATB,domperidone maleate (as domperidone   10mg)
179001ATB,itopride hydrochloride   50mg
183501ATB,levosulpiride   25mg
190802AGR,mesalazine   1g
190802ATR,mesalazine   1g
190803ATR,mesalazine   0.5g
190806AGR,mesalazine   2g
190808ATR,mesalazine   0.4g
190811ATR,mesalazine   1200mg
193701ATB,metoclopramide   3.84mg
212501ATB,pinaverium bromide   50mg
222602ATB,ramosetron hydrochloride   2.5μg
222603ATB,ramosetron hydrochloride   5μg
227730ASS,simethicone   0.2g(20mg/mL)
227731ASS,simethicone   10g(20mg/mL)
227734ASS,simethicone   2g(20mg/mL)
227735ASS,simethicone   0.24g(20mg/mL)
244330ASY,trimebutine maleate (as trimebutine   1.2g(4.8mg/mL))
244331ASY,trimebutine maleate (as trimebutine   2.16g(4.8mg/mL))
244301ATB,trimebutine maleate   0.1g
244302ATB,trimebutine maleate   0.2g
244303ATR,trimebutine maleate   0.3g
244305ATB,trimebutine maleate   0.15g
294300ACS,alverine citrate   60mg
294400ACH,clebopride malate (as clebopride   0.5mg)
421001APD,mosapride citrate (as mosapride   5mg)
421001ATB,mosapride citrate hydrate (as mosapride   5mg)
421004ATR,mosapride citrate hydrate (as mosapride   15mg)
461700ATB,metoclopramide hydrochloride (as metoclopramide   5mg)
475001ACH,balsalazide disodium dihydrate   0.75g
593401ACH,E.coli strain Nissle 1917의 동결건조물 14mg(E.coli strain Nissle 1917로서 25×10^9 CFU)
614901ATB,corydalis tuber·pharbitis seed(5:1) 50% ethanol ext.(9.5~11.5→1)   30mg
668001ACH,migalastat hydrochloride (as migalastat   0.123g)
141401AGN,desmopressin acetate (as desmopressin   89μg)
141401APD,desmopressin acetate (as desmopressin   89μg)
141401ATB,desmopressin acetate (as desmopressin   89μg)
141401ATD,desmopressin acetate (as desmopressin   89μg)
141404AGN,desmopressin acetate (as desmopressin   0.178mg)
141404APD,desmopressin acetate (as desmopressin   0.178mg)
141404ATB,desmopressin acetate (as desmopressin   0.178mg)
141404ATD,desmopressin acetate (as desmopressin   0.178mg)
141407ATL,desmopressin acetate (as desmopressin   60μg)
141408ATL,desmopressin acetate (as desmopressin   0.12mg)
141409ATL,desmopressin acetate (as desmopressin   0.24mg)
183601ATB,levothyroxine sodium   0.1mg
183602ATB,levothyroxine sodium   75μg
183603ATB,levothyroxine sodium   0.125mg
183604ATB,levothyroxine sodium   0.15mg
183606ATB,levothyroxine sodium   0.2mg
183607ATB,levothyroxine sodium   25μg
183608ATB,levothyroxine sodium   50㎍
183609ATB,levothyroxine sodium   88μg
183610ATB,levothyroxine sodium   0.112mg
191801ATB,methimazole   5mg
220101ATB,propylthiouracil   50mg
296800ATB,levothyroxine sodium   50㎍
471501ATB,carbimazole   5mg
471502ATB,carbimazole   10mg
471503ATB,carbimazole   20mg
207201ATB,oxymetholone   50mg
116401ATB,betamethasone   0.5mg
140801ATB,deflazacort   6mg
141901ATB,dexamethasone   0.5mg
141903ATB,dexamethasone   0.75mg
160201ATB,fludrocortisone acetate   100㎍
170901ATB,hydrocortisone   10mg
170906ATB,hydrocortisone   5mg
193302ATB,methylprednisolone   4mg
193305ATB,methylprednisolone   1mg
217034ASY,prednisolone   0.5g(1mg/mL)
217035ASY,prednisolone   1.5g(3mg/mL)
217001ATB,prednisolone   5mg
243201ATB,triamcinolone   1mg
243202ATB,triamcinolone   2mg
243203ATB,triamcinolone   4mg
296900ATB,betamethasone   0.25mg
236301ACS,testosterone undecanoate   40mg
131402ATR,chlormadinone acetate   50mg
139401ATB,cyproterone acetate   50mg
140301ACH,danazol   0.1g
140302ACH,danazol   0.2g
154901ATB,estradiol hemihydrate (as estradiol   1mg)
155001ATB,estradiol valerate   1mg
155002ATB,estradiol valerate   2mg
155401ATB,conjugated estrogens   0.3mg
155402ATB,conjugated estrogens   0.625mg
155501ATB,estropipate (as estron sodium sulfate   0.625mg)
155502ATB,estropipate (as estron sodium sulfate   1.25mg)
188903ATB,medroxyprogesterone acetate   10mg
188906ATB,medroxyprogesterone acetate   5mg
195001ACS,micronized progesterone   0.1g
239001ATB,tibolone   2.5mg
297000ATB,estradiol hemihydrate (as estradiol   1mg/정)
297100ATB,estradiol hemihydrate (as estradiol   2mg/정)
297400ATB,dydrogesterone   10mg/정(A정 14정중)
433700ATB,dydrogesterone   10mg/정(A정 14정중)
398400ATB,cyproterone acetate   1mg/정(B정 12정중)
433800ATB,dydrogesterone   5mg/정
433900ATB,estradiol valerate   1mg/정
434000ATB,estradiol valerate   1mg/정
434100ATB,estradiol valerate   2mg/정
297600ATB,estradiol valerate   2mg/정(A정 10정중)
490400ATB,drospirenone   2mg/정
615701ATB,dienogest   2mg/정
136201ATB,clomiphene citrate   50mg
615802ATB,ulipristal acetate   5mg/정
226702ACS,serenoa repens lipidosterolic ext.   0.32g
505801ATB,Imidafenacin   0.1mg
104803ATR,alfuzosin hydrochloride   10mg
159001ATB,finasteride   5mg
159201ATB,flavoxate hydrochloride   0.2g
210701ACH,pentosan polysulfate sodium   0.1g
215902ATR,potassium citrate   1.08g
219701ATB,propiverine hydrochloride   10mg
219702ATB,propiverine hydrochloride   20mg
234601ACR,tamsulosin hydrochloride   0.2mg
234601ATD,tamsulosin hydrochloride   0.2mg
234601ATR,tamsulosin hydrochloride   0.2mg
234603ACR,tamsulosin hydrochloride   0.4mg
235501ATB,terazosin hydrochloride (as terazosin   1mg)
235502ATB,terazosin hydrochloride (as terazosin   2mg)
235503ATB,terazosin hydrochloride (as terazosin   5mg)
245501ATB,trospium chloride   20mg
245503ATB,trospium chloride   30mg
299100AGN,citric acid   1.002g
357102ACR,tolterodine L-tartrate   2mg
357102ATB,tolterodine L-tartrate   2mg
357103ACR,tolterodine L-tartrate   4mg
357103ATR,tolterodine L-tartrate   4mg
458801ACS,dutasteride   0.5mg
458801ATB,dutasteride   0.5mg
493801ATB,solifenacin succinate   5mg
493801ATD,solifenacin succinate   5mg
493802ATB,solifenacin succinate   10mg
493802ATD,solifenacin succinate   10mg
503801ATR,fesoterodine fumarate   4mg
503802ATR,fesoterodine fumarate   8mg
504202ACH,silodosin   4mg
504202ATB,silodosin   4mg
504203ACH,silodosin   8mg
504203ATD,silodosin   8mg
505802ATD,imidafenacin   0.1mg
614201ATB,naftopidil   25mg
614202ATB,naftopidil   50mg
614203ATB,naftopidil   75mg
625701ATR,mirabegron   50mg
625702ATR,mirabegron   25mg
655601ATB,solifenacin fumarate   9.96mg
655602ATB,solifenacin fumarate   4.98mg
657401ATB,solifenacin tartrate   5.33mg
657402ATB,solifenacin tartrate   10.66mg
102301ACH,acitretin   10mg
104601ACS,alfacalcidol   0.5㎍
104601ATB,alfacalcidol   0.5㎍
104602ACS,alfacalcidol   1㎍
121401ACS,calcifediol   20㎍
121601ACS,calcitriol   0.25㎍
178701ACS,isotretinoin   10mg
624001ACS,alitretinoin   10mg
624002ACS,alitretinoin   30mg
237301ATB,thiamine hydrochloride   10mg
162601ATB,folic acid   1mg
162602ATB,folic acid   5mg
188601ACH,mecobalamin   0.25mg
188602ACH,mecobalamin   0.5mg
188602ATB,mecobalamin   0.5mg
221603ATB,pyridoxine hydrochloride   50mg
110405ATB,ascorbic acid   50mg
301500ATB,ascorbic acid   60mg
301600ATB,ascorbic acid   60mg
205602ATB,ossopan substance   0.83g
302600ATB,calcium carbonate   1.5g
387900ACS,calcium carbonate (as calcium   0.3g)
473800ATB,calcium carbonate (as calcium   0.5g)
480200ATB,calcium carbonate (as calcium   0.5g)
498200ATB,calcium carbonate (as calcium   0.1g)
498300ATB,calcium carbonate (as calcium   0.3g)
634000ATB,calcium carbonate (as calcium   0.35g)
526100ATB,calcium carbonate (as calcium   0.3g)
303200ATB,calcium carbonate(precipitated)   0.24g
503100ATB,calcium citrate (as calcium   0.24g)
508700ATB,calcium citrate (as calcium   0.17914g)
519000ATB,calcium citrate (as calcium   0.316g)
665600ATB,calcium citrate (as calcium   0.10112g)
670000ATB,calcium citrate (as calcium   0.20224g)
462700ATB,calcium citrate (as calcium   0.158g)
158631ALQ,ferric hydroxide polymaltose complex (as Fe III   0.1g(20mg/mL))
158634ALQ,ferric hydroxide polymaltose complex (as Fe III   2.25g(50mg/mL))
158632ALQ,ferric hydroxide polymaltose complex (as Fe III   0.1g(6.667mg/mL))
215001ACH,polysaccharide iron complex (as Fe   0.15g)
228931ALQ,sodium ferric gluconate complex (as Fe III   62.5mg(6.25mg/mL))
228902ACH,sodium ferric gluconate complex (as Fe III   62.5mg)
303300ATB,ferric hydroxide polymaltose complex (as Fe   0.1g)
303403ATR,ferrous sulfate dried (as Fe II   80mg)
379330ALQ,iron acetyl transferrin (as Fe   40mg(4mg/mL))
379302ACH,iron acetyl transferrin (as Fe   40mg)
417230ASY,ferritinic iron   40mg(4mg/mL)
533700ALQ,calcium folinate   0.3mg(37.5μg/mL)
434700ATB,L-histidine   38mg
529300ALQ,biotin   7.72μg(0.0386μg/mL)
529400ALQ,biotin   15.44μg(0.0386μg/mL)
529500ASS,ascorbic acid   40mg(0.2mg/mL)
529600ASS,ascorbic acid   0.1g(0.2mg/mL)
215801ATR,potassium chloride   0.6g
242501ACH,tranexamic acid   0.25g
249103ATB,warfarin sodium   2mg
249105ATB,warfarin sodium   5mg
511401ATB,rivaroxaban(micronized)   10mg
511402ATB,rivaroxaban(micronized)   15mg
511403ATB,rivaroxaban(micronized)   20mg
511404ATB,rivaroxaban(micronized)   2.5mg
613701ACH,dabigatran etexilate mesylate (as dabigatran etexilate   0.11g)
613702ACH,dabigatran etexilate mesylate (as dabigatran etexilate   0.15g)
617001ATB,apixaban   2.5mg
617002ATB,apixaban   5mg
643601ATB,edoxaban tosilate hydrate (as edoxaban   15mg)
643602ATB,edoxaban tosilate hydrate (as edoxaban   30mg)
643603ATB,edoxaban tosilate hydrate (as edoxaban   60mg)
116201ATB,beraprost sodium   20μg
116202ATB,beraprost sodium   40μg
133201ACR,cilostazol   0.1g
133201ATB,cilostazol   0.1g
133201ATR,cilostazol   0.1g
133202ATB,cilostazol   50mg
133203ACR,cilostazol   0.2g
133203ATR,cilostazol   0.2g
174701ATB,indobufen   0.2g
226101ATB,sarpogrelate hydrochloride   0.1g
226103ATR,sarpogrelate hydrochloride   0.3g
239201ATB,ticlopidine hydrochloride   0.1g
239202ATB,ticlopidine hydrochloride   0.25g
506100ATB,cilostazol   0.1g
533900APD,dextrose   5g
590701ATB,eltrombopag olamine (as eltrombopag   25mg)
590702ATB,eltrombopag olamine (as eltrombopag   50mg)
675600ALQ,dextrose   3.125g(25mg/mL)
117701ATB,biphenyl dimethyl dicarboxylate   25mg
117702ACH,biphenyl dimethyl dicarboxylate   7.5mg
117702ACS,biphenyl dimethyl dicarboxylate   7.5mg
123901ATB,milk thistle fruit ext.   0.1g (as silymarin   70mg)
123904ATB,milk thistle fruit ext.   50mg (as silymarin   35mg)
123907ACS,milk thistle fruit ext.   0.35g
123908ACS,milk thistle fruit ext.   0.175g
124001ACH,milk thistle fruit ext. powder   0.3394g (as silymarin   0.14g)
124002ACH,milk thistle fruit ext. powder   0.1697g (as silymarin   70mg)
180901ATB,lamivudine   0.1g
187702ATB,malotilate   0.2g
191201ATB,metadoxine   0.5g
205002ACM,L-ornithine-L-aspartate   3g
205002APD,L-ornithine-L-aspartate   3g
246501ATB,ursodeoxycholic acid   0.1g
305900ACH,biphenyl dimethyl dicarboxylate   25mg
427800ACH,adenine hydrochloride   2.5mg
448000ACH,biphenyl dimethyl dicarboxylate   12.5mg
457501ATB,adefovir dipivoxil   10mg
474931AGN,sodium phenylbutyrate   84.042g(0.483g/g)
474930APD,sodium phenylbutyrate   250g(0.94g/g)
474901ATB,sodium phenylbutyrate   0.5g
487202ATB,entecavir   0.5mg
487202ATD,entecavir   0.5mg
487203ATB,entecavir   1mg
487203ATD,entecavir   1mg
487802ACH,clevudine   30mg
506001ATB,telbivudine   0.6g
665301ATB,tenofovir alafenamide fumarate (as tenofovir alafenamide   25mg)
665401ATB,besifovir dipivoxil maleate (as besifovir dipivoxil   0.15g)
182501ATB,calcium folinate (as folinate   15mg)
182503ATB,calcium folinate (as folinate   5mg)
199201ATB,naltrexone hydrochloride   50mg
199202ATB,naltrexone hydrochloride   25mg
209901ACH,d-penicillamine   0.15g
209902ACH,d-penicillamine   0.25g
363401ATB,pralidoxime chloride   0.5g
459701AGN,spherical adsorptive carbon   2g
459702ACH,spherical adsorptive carbon   0.2857g
480101ACH,trientine hydrochloride   0.25g
486007ASS,deferasirox   0.5g(25mg/mL)
486008ASS,deferasirox   12.5g(25mg/mL)
486010ASS,deferasirox   0.25g(25mg/mL)
486011ASS,deferasirox   7g(25mg/mL)
486001APD,deferasirox   0.125g
486001ATD,deferasirox   0.125g
486002APD,deferasirox   0.25g
486002ATD,deferasirox   0.25g
486003APD,deferasirox   0.5g
486003ATD,deferasirox   0.5g
486004ATB,deferasirox   90mg
486005ATB,deferasirox   0.18g
486006ATB,deferasirox   0.36g
486009APD,deferasirox   1g
494001APD,betaine anhydrous   180g(1g/g)
512001ACH,zinc acetate   25mg
512002ACH,zinc acetate   50mg
105001ATB,allopurinol   0.1g
137801ATB,colchicine   0.6mg
567401ATB,febuxostat   80mg
567403ATB,febuxostat   40mg
438901ATB,"streptokinase·streptodornase (streptokinase   10KI.U, streptodornase   2.5KI.U)   12.5KI.U"
451201ATE,bromelain   0.1g
451202ATE,bromelain   45mg
100601ATB,acarbose   0.1g
100602ATB,acarbose   50mg
165402ATB,glibenclamide   5mg
165602ATB,gliclazide   80mg
165603ATR,gliclazide   30mg
165604ATR,gliclazide   60mg
165701ATB,glimepiride   1mg
165702ATB,glimepiride   2mg
165703ATB,glimepiride   3mg
165704ATB,glimepiride   4mg
165801ATB,glipizide   5mg
191501ATB,metformin hydrochloride   0.25g
191502ATB,metformin hydrochloride   0.5g
191502ATR,metformin hydrochloride   0.5g
191503ATB,metformin hydrochloride   0.85g
191504ATB,metformin hydrochloride   1g
191504ATR,metformin hydrochloride   1g
191505ATR,metformin hydrochloride   0.75g
249001ATB,voglibose   0.2mg
249002ATB,voglibose   0.3mg
379501ATB,repaglinide   0.5mg
379502ATB,repaglinide   1mg
379503ATB,repaglinide   2mg
406201ATB,miglitol   50mg
